Code	Reference
NQT	Noson, L.L., Qamar, A., and Thorsen, G.W., 1988, Washington State earthquake hazards:  Washington Division of Geology and Earth Resources, Information Circular 85, p. 22.
NS	Natali, S.G., and Sbar, M.L., 1982, Seismicity in the epicenter region of the 1887 northeastern Sonoran earthquake, Mexico:  Seismological Society of America Bulletin, v. 72, no. 1, p. 181-196.
NTI	Nuttli, O.W., 1974, Magnatude-recurrence relation for Central Mississippi valley earthquakes:  Seismological Society of America Bulletin, v. 64, no. 4, p. 1189-1207.
NTL	Nuttli, O.W., 1987, The effects of earthquakes in the Central United States:  Central United States Earthquake Consortium, Monograph Series, v. 1, 33p.
NTT	Nuttli, O.W., 1979, Seismicity of the Central United States, geology in the siting of nuclear power plants:  Geological Society of America, Reviews in Engineering Geology, v. 4, p. 67-107.
NU	Nuttli, O.W. 1973, The Mississippi valley earthquakes of 1811 and 1812:  Intensities, ground motion, and magnitudes:  Seismological Society of America Bulletin, v. 63, no. 1, p. 227-248.
NUT	Nuttli, O.W., Bollinger, G.a., and Griffiths, D.W., 1979, On the relation between Modified Mercalli intensity and body-wave magnitude:  Seismological Society of America Bulletin, v. 69, no. 3, p. 893-909.
PAL	Lamont-Doherty Geological Observatory, Columbia University, Palisades, N.Y.
PAS	Seismological Laboratory, California Institute of Technology, Pasadena, CA.
PMR	Alaska Tsunami Warning Center, U.S. National Oceanic and Atmospheric Administration, Palmer, Alaska.
PT	Plafker, G., and Thatcher, W., 1982, Geological and Geophysical evaluation of the great 1899-1900 Yakutat Bay, Alaska, earthquakes [abs.], in  Coppersmith, K.J., and Schwartz, D.P., eds.:  Chapman conference on fault behavior and the earthquake generation process, American Geophysical Union, p. 7. 
QAM	Qamar, A., Rathburn, A., Ludwin, R., Crosson, R.S., and Malone, S.D., 1986, Earthquake hypocenters in Washington and Northern Oregon-1980:  Washington Division of Geology and Earth Resources, Information Circular 82, 64p.
REN	Mackay School of Mines, University Nevada-Reno, Reno, Nevada.
RIC	Richter, C.F., 1935, An instrumental earthquake magnitude scale:  Seismological Society of America Bulletin, v. 25, no. 1, p. 1-32.
RK	Ruff, Larry, Kanamori, Hiroo, and Sykes, Lynn, 1985, The 1957 great Aleutian earthquake [abs.]:  EOS, Transactions, American Geophysical Union, v. 66, no. 18, p. 298.
ROG	Rogers, G.C., 1983, Seismotectonics of British Columbia:  University of British Columbia, Canada, Phd. thesis, 247p.
ROT	Rothe, J.P., 1969, The seismicity of the Earth:  Paris, United Nations Educational, Scientific, and Cultural Organization, 336p.
SAN	Sanford, A.R., and Toppozada, T.R., 1974, Seismicity of proposed waste disposal site in southeastern New Mexico:  New Mexico Bureau of Mines and Mineral Resources, Circular 153, 15p.
SAW	Scholz, C.H., Aviles, C.A., and Wesnousky, S.G., 1986, Scaling differences between large interplate and intraplate earthquakes:  Seismological Society of America Bulletin, v. 76, no. 1, p. 65-70.
SC	Stover, Carl W., and Coffman, Jerry L., 1993a, Seismicity of the United States, 1568-1989 (Revised): U.S. Geological Survey Professional Paper 1527, 418 p.
SEE	Street, R.L., 1982, A contribution to the documentation of the 1811-1812 Mississippi valley earthquake sequence:  Seismological Society of America, Eastern Section, Earthquake Notes, v. 51, no. 2, p. 39-52.
SET	Street, R.L., 1989, Personal communication, letter dated July 5, 1989.
SG	Street, R.L., and Green, R.F., 1984, The historical seismicity of Central United States, 1811-1928: University of Kentucky Research Foundation, Lexington, Ky., 550 p.
SJG	Slemmons, D.B., Jones, A.E., and Gimlet, J.I., 1965, Catalog of Nevada earthquakes, 1852-1960:  Seismological Society of America Bulletin, v. 55, no. 2, p. 519-565.
SLM	Saint Louis University, Saint Louis, MO.
SOM	Somerville, P.G., McLaren, J.P., Lafevre, L.V., Berger, R.W., and Heimberger, H.V., 1987, Comparison of source scaling relations of Eastern and Western North American earthquakes:  Seismological Society of America Bulletin, v. 77, no. 2, p. 322-346.
SR	Schell, M.M., and Ruff, L.J., 1986, Southeastern Alaska tectonics: Source process of the large 1972 Sitka earthquake [abs.]:  EOS, Transactions, American Geophysical Union, v. 67, p. 304-305.
SRT	Street, R.L., 1984, Some recent Lg-phase displacement spectral densities and their implication with respect to the prediction of ground motions in Eastern North America:  Seismological Society of America Bulletin, v. 74, no. 2, p. 757-762.
ST	Street, R.L., and Turcotte, F.T., 1977,  A study of northeastern North America Spectral moments, magnitudes, and intensities:  Seismological Society of America Bulletin, v. 67, no. 3, p. 599-614.
STR	Street, R.L., 1967, Scaling Northeastern United States/Southeastern Canadian earthquakes by their Lg waves:  Seismological Society of America Bulletin, v. 66, no. 5, p. 1525-1537.
STT	Street, R.L., Herrmann, R.B., and Nuttli, O.W., 1975, Special characteristics of the Lg wave generated by Central United States earthquakes:  Geophysical Journal of Royal Astronomical Society, v. 41, p. 51-63.
SZ	Schwartz, S.Y., and Christensen, D.H., 1988, The 12 July 1986 St. Marys, Ohio, earthquake and recent seismicity in the Anna, Ohio, seismogenic zone:  Seismological Society of America, Eastern Section, Seismological Research Letters, v. 59, no. 2, p. 57-62.
TAG	Taggart, James, and Baldwin, Frank, 1982, Earthquake sequence of 1938-1939 in Mogollen Mountains, New Mexico:  New Mexico Geology, v. 4, no. 4, p. 49-52.
TEC	Center for Earthquake Research and Information, Memphis State University, Memphis, Tennessee.
TH	Thatcher, W., and Hanks, T.C., 1973, Source parameters of southern California earthquakes:  Journal of Geophysical Research, v. 78, no. 35, p. 8547-8576.
THH	Thatcher, W., Hileman, J.A., and Hanks, T.C.., 1975, Seismic slip distribution along the San Jacinto fault zone, southern California, and its implications:  Geological Society of America Bulletin, v. 86, p. 1140-1146.
TUL	Oklahoma Geophysical Observatory, Oklahoma Geological Survey, Leonard, Oklahoma.
TW	Thatcher, W., 1975, Strain accumulation and release mechanism of the 1906 San Francisco earthquake:  Journal of Geophysical Research, v. 80, no. 35, p 4862-4880.
UH	University of Hawaii, Honolulu, Hawaii.
UPP	Uppsala Seismograph Station, University of Uppsala, Sweden.
UU	Seismograph Stations, University of Utah, Salt Lake City, Utah.
VIC	Victoria Geophysical Observatory, Victoria, B.C., Canada.
WAL	Wallace, R.E., 1984, Fault scarps formed during the earthquakes of October 2, 1915, in Pleasant Valley, Nevada and some tectonic implications, in  Faulting related to the 1915 earthquakes in Pleasant Valley, Nevada:  U.S. Geological Survey Professional Paper 1274-A, p. A1-A33.
WAS	University of Washington, Seattle, Washington.
WES	Weston Observatory, Boston College, Weston, Massachusetts.
WK	Webb, T.H., and Kanamori, Hiroo, 1985, Earthquake focal mechanism in the Eastern Transverse Ranges and San Emigdio Mountains, southern California, and evidence for a regional decollement:  Seismological Society of America Bulletin, v. 75, no. 3, p 737-757.
WOO	Wood, H.O., 1947, Earthquakes in southern California with geologic relations:  Seismological Society of America Bulletin. v. 37, no. 3, p. 217-258.
WY	Wyss, Max, and Koyanagi, Robert, in press, Isoseismal maps, macroseismic epicenters and estimated magnitudes of historical earthquakes in the Hawaiian Islands:  U.S. Geological Survey Bulletin.
WYS	Wyss, Max, and Brune, J.N., 1968, Seismic moment, stress, and source dimensions for earthquakes in the California-Nevada region:  Journal of Geophysical Research, v. 73, no. 4, p. 4681-1694.
YEL	Yellin, Tom, 1991, University of Washington, personal communication.
YP	Yellin, T.S., and Patton, H.J., 1991, Seismotectonics of the Portland, Oregon, region:  Seismological Society of America Bulletin, v. 81, no. 1, p. 109-130.